"범죄별","기간별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"합계","계","범죄발생부터 인지까지의 기간[건]","건","1829211","1965977","2189452","2168185","1917300","1902720","1944906","2006657","1933835","2020731","2008290","1824876","1738190","1767684","1714579","1531705","1575007","1613754","1729975",
"합계","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","593165","655742","728574","605408","526651","529668","519633","500450","464095","457192","457366","385992","321341","293042","257739","226414","219217","432337","434317",
"합계","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","41495","46455","48533","47834","55627","69006","71924","73596","69247","68219","64711","54219","44386","39206","31886","25428","23686","67017","60424",
"합계","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","38554","41978","45336","45669","56987","73639","81698","86941","84028","84371","78509","66845","58585","53736","43858","34417","34017","59488","53359",
"합계","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","50729","58098","63352","60302","63451","74356","81585","84418","79615","77029","72346","64135","66232","66045","59386","51668","59311","90945","84709",
"합계","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","69676","75831","86245","85204","71335","75892","81752","83295","77601","77734","73053","63627","62372","63756","59528","55332","58841","174962","178083",
"합계","2일 이내","범죄발생부터 인지까지의 기간[건]","건","52014","60277","66765","64349","65910","71590","85784","89839","85688","89662","89648","79895","72677","71865","67012","56759","54903","58692","59082",
"합계","5일 이내","범죄발생부터 인지까지의 기간[건]","건","102955","121551","131957","131015","125888","124814","150218","161727","157767","168600","176144","165562","155104","157242","150060","126175","117245","83089","86880",
"합계","10일 이내","범죄발생부터 인지까지의 기간[건]","건","97145","112580","120885","127089","119003","112172","126555","134723","138268","150164","157432","152577","152878","164524","167666","146205","139011","69280","74565",
"합계","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","188638","207611","227864","240475","220584","188625","193481","203111","214449","239470","248437","241128","250065","276752","288178","272501","285817","170726","208070",
"합계","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","177169","192233","241767","262859","221737","208625","199036","207919","208207","229008","221521","206494","212294","239595","248425","235794","264607","127542","175614",
"합계","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","417671","393621","428174","497981","390127","374333","353240","380638","354870","379282","369123","344402","342256","341921","340841","301012","318352","279676","314872",
"형법범","계","범죄발생부터 인지까지의 기간[건]","건","828021","845311","897536","993136","939171","997263","1038609","1057834","1016209","1047761","1005689","958865","988398","1041395","1044438","917787","1003883","1026799","1096129",
"형법범","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","194319","201886","201745","199339","183781","204445","195627","171537","153068","146859","133310","124041","115505","111563","100424","88065","99381","224212","226041",
"형법범","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","22897","25566","27725","29779","34630","47870","50564","50318","46850","44801","40590","34370","28622","25470","19156","14246","14083","37796","33691",
"형법범","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","27381","29485","32011","33002","42848","58798","62692","63932","60886","59036","52989","46542","42539","39671","31778","23802","24185","42577","37709",
"형법범","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","36144","38912","41764","41116","47286","59405","58944","57289","52588","48944","43974","39319","43775","45626","41173","35469","40730","68741","58802",
"형법범","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","40512","43375","48275","48625","46329","56969","56196","53563","49980","47039","41501","37876","41807","43686","41539","38471","42241","131166","121575",
"형법범","2일 이내","범죄발생부터 인지까지의 기간[건]","건","29522","31358","34428","34872","38516","47865","52487","53118","50220","50798","48088","45111","45138","45623","43546","36302","37118","49529","48437",
"형법범","5일 이내","범죄발생부터 인지까지의 기간[건]","건","51585","54225","57695","60144","59667","67400","84218","88665","85813","90049","91622","92184","93814","96876","93452","76859","75761","65965","68054",
"형법범","10일 이내","범죄발생부터 인지까지의 기간[건]","건","40741","43574","46563","49888","49299","54124","69734","74732","75191","81079","84177","86121","93575","102535","106808","91645","94015","49610","53644",
"형법범","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","61908","66656","74431","88133","84660","82273","97983","107500","112208","125580","130286","134370","151670","172418","186890","173631","195721","127710","158750",
"형법범","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","71919","77577","90956","117714","106759","101060","102837","116602","116246","126883","121025","119110","133510","156922","171265","158962","189143","80968","106178",
"형법범","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","251093","232697","241943","290524","245396","217054","207327","220578","213159","226693","218127","199821","198443","201005","208407","180335","191505","148525","183248",
"재산범죄","계","범죄발생부터 인지까지의 기간[건]","건","455948","469654","503302","561972","568623","605360","637686","671217","617119","622126","573445","542336","576937","627430","659058","575332","634864","669303","746794",
"재산범죄","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","57450","64643","66742","67408","71892","82759","77714","68609","57652","54385","46612","43713","43232","45658","44095","40542","49748","63879","74074",
"재산범죄","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","7296","7915","8733","9152","12034","16739","17312","17479","15306","14026","11913","10690","9783","9365","7534","6031","6295","21135","18799",
"재산범죄","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","12332","13180","14200","13969","19749","28029","29459","28979","26264","23900","19590","17795","16829","16318","13809","10687","10956","30459","26832",
"재산범죄","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","21909","23807","24923","23362","30942","41452","40364","38683","33747","28992","23369","20517","23477","25090","22981","19343","21967","52214","45273",
"재산범죄","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","23313","26040","28813","28162","32422","44011","42693","40413","36597","32910","27248","24232","27149","28310","27106","24268","25455","98439","91255",
"재산범죄","2일 이내","범죄발생부터 인지까지의 기간[건]","건","17209","19197","21036","20743","25148","33096","35903","36452","33436","31728","28106","25392","26480","26722","25777","21625","21597","39632","37702",
"재산범죄","5일 이내","범죄발생부터 인지까지의 기간[건]","건","27558","29826","31637","32276","33951","41336","53089","57083","52750","52581","49228","48011","49836","51403","51435","42526","40853","50379","51023",
"재산범죄","10일 이내","범죄발생부터 인지까지의 기간[건]","건","19907","21902","22856","25081","25805","30760","43672","48831","47236","49423","47984","48398","53864","59679","64230","54458","55176","36787","39680",
"재산범죄","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","29705","33116","37998","46416","47098","46618","62717","72676","72144","78309","79022","80796","91993","106912","120379","109234","123896","107889","136807",
"재산범죄","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","42513","47580","57852","74437","72018","68699","72595","88232","82180","89478","82992","81607","93072","113108","126329","112792","135966","63827","86593",
"재산범죄","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","196756","182448","188512","220966","197564","171861","162168","173780","159807","166394","157381","141185","141222","144865","155383","133826","142955","104663","138756",
"절도","계","범죄발생부터 인지까지의 기간[건]","건","190745","212530","223264","256680","268007","281561","293074","290835","266784","246424","203573","184355","177458","187629","180067","166782","182720","189942","184155",
"절도","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","40268","43324","44934","44138","49025","55558","50891","43034","34217","28760","21985","20191","17140","17116","14602","12411","13010","27517","26767",
"절도","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","5279","5252","5727","5723","7746","10682","10994","10803","9250","7544","5914","5212","4528","4339","3356","2805","2803","9946","9345",
"절도","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","9705","9845","10489","9804","13892","19852","20666","20252","17374","14355","10974","9485","8436","7917","6273","5055","5073","14610","13537",
"절도","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","18838","19518","19702","17818","23132","31124","29784","27988","23477","18237","13487","11259","10147","9654","8015","6578","6423","17937","16495",
"절도","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","18650","20283","21744","20409","24109","32592","30724","28291","24664","20392","15696","13189","12767","12174","10669","9154","9069","25798","23740",
"절도","2일 이내","범죄발생부터 인지까지의 기간[건]","건","13757","14820","15701","15133","18571","24282","24908","24721","21966","19534","16087","13597","12692","12271","11195","9372","8906","18811","17903",
"절도","5일 이내","범죄발생부터 인지까지의 기간[건]","건","20988","21753","22168","22685","23984","28646","35509","37459","33486","31763","28169","25543","23524","23563","22458","19059","17921","22445","21994",
"절도","10일 이내","범죄발생부터 인지까지의 기간[건]","건","13937","14996","15095","16714","17156","20240","27293","29500","28278","28691","25926","24791","24801","27119","26986","24496","25212","14284","14131",
"절도","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","16934","20105","21372","27535","27863","23547","29699","32156","34231","36590","32954","32386","33763","38718","39992","40133","46602","16485","17220",
"절도","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","15379","18836","21260","31557","29295","17946","19342","20845","22915","24456","20319","19478","20743","25492","26961","28338","36634","11992","13134",
"절도","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","17010","23798","25072","45164","33234","17092","13264","15786","16926","16102","12062","9224","8917","9266","9560","9381","11067","10117","9889",
"장물","계","범죄발생부터 인지까지의 기간[건]","건","2432","3050","2212","3381","3206","2606","3856","6491","3668","4263","2086","1934","965","925","616","302","256","316","405",
"장물","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","97","220","122","152","145","101","223","538","291","198","120","88","54","42","21","17","17","13","15",
"장물","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","9","12","9","10","15","15","30","78","32","30","27","15","4","2","3","3","0","3","1",
"장물","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","19","21","13","15","23","17","48","84","49","35","32","22","16","4","2","2","2","5","6",
"장물","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","17","48","28","22","23","35","55","117","66","61","39","29","19","13","11","5","4","10","11",
"장물","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","53","45","37","32","45","42","81","127","86","86","47","32","21","15","19","9","5","20","31",
"장물","2일 이내","범죄발생부터 인지까지의 기간[건]","건","39","40","34","23","44","51","87","142","98","108","60","37","34","11","13","7","4","6","6",
"장물","5일 이내","범죄발생부터 인지까지의 기간[건]","건","99","101","133","90","99","112","185","244","156","163","108","87","45","42","26","17","13","13","12",
"장물","10일 이내","범죄발생부터 인지까지의 기간[건]","건","167","152","147","151","182","164","220","256","239","225","118","113","61","48","27","16","14","18","16",
"장물","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","427","384","313","450","528","410","701","785","490","538","291","263","149","162","108","45","46","56","51",
"장물","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","544","628","437","749","777","666","1040","1328","666","891","374","374","192","197","119","55","67","50","72",
"장물","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","961","1399","939","1687","1325","993","1186","2792","1495","1928","870","874","370","389","267","126","84","122","184",
"사기","계","범죄발생부터 인지까지의 기간[건]","건","203346","186115","205140","224889","205913","226359","241275","274086","244008","257620","250600","241642","278566","313593","354154","297981","329358","354055","443410",
"사기","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","5364","5596","6438","7660","7235","8856","9907","10487","9680","11343","11084","10814","13581","15995","18012","17797","25617","13869","26013",
"사기","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","699","796","963","1148","1568","2283","2495","2719","2417","2610","2175","2136","2247","2189","2025","1523","1732","5973","5046",
"사기","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","1229","1461","1712","1925","2711","3864","4391","4114","4252","4350","3539","3674","4098","4085","4000","2803","3035","9208","7458",
"사기","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","1030","1507","2119","2349","2849","3745","4530","4874","4702","4912","4183","4117","7500","9566","9794","8318","10588","23004","19582",
"사기","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","2144","2591","3295","3665","2854","3601","4898","5453","5405","5569","4541","4744","7742","9449","10395","9659","10961","52059","49862",
"사기","2일 이내","범죄발생부터 인지까지의 기간[건]","건","1523","1965","2641","2786","2593","3256","5273","6025","5806","5859","5108","5357","7353","8255","8694","7549","7916","10530","10645",
"사기","5일 이내","범죄발생부터 인지까지의 기간[건]","건","3290","3887","4943","4911","4327","5439","8879","10139","9886","9827","8952","10169","14114","15698","17038","13480","13328","15292","17331",
"사기","10일 이내","범죄발생부터 인지까지의 기간[건]","건","3335","3724","4310","4959","4578","5604","9603","11686","10678","10593","10670","11470","15860","18344","22476","17173","17030","13800","17446",
"사기","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","8323","8143","11517","12961","12949","16118","23966","30109","25774","26899","29695","31049","38547","45547","55294","44948","49018","82787","110621",
"사기","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","21000","22243","30223","35529","34468","42170","43596","56556","47959","52504","49840","48664","56805","69492","80195","65160","74058","47142","68219",
"사기","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","155409","134202","136979","146996","129781","131423","123737","131924","117449","123154","120813","109448","110719","114973","126231","109571","116075","80391","111187",
"횡령","계","범죄발생부터 인지까지의 기간[건]","건","25084","24122","26750","27362","26312","27882","33044","36213","38646","48795","52069","52610","57172","60819","60539","51588","61354","66318","66005",
"횡령","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","551","496","480","602","713","1047","1287","1769","1844","3702","3904","4159","4599","5041","4601","4332","5090","5598","6312",
"횡령","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","36","28","38","49","85","167","243","326","389","841","998","1016","1030","1079","818","681","801","2785","2351",
"횡령","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","55","69","62","97","124","283","464","554","718","1395","1593","1536","1532","1669","1424","1101","1146","3682","3236",
"횡령","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","115","105","129","127","220","478","604","795","893","1621","1788","1713","2257","2564","2196","1895","2238","5304","4299",
"횡령","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","303","245","251","282","314","618","760","936","1064","2007","2515","2487","2951","3090","2801","2389","2670","10927","9576",
"횡령","2일 이내","범죄발생부터 인지까지의 기간[건]","건","246","212","240","239","359","603","840","1061","1168","2109","2517","2573","2814","2691","2550","2014","2210","5601","5057",
"횡령","5일 이내","범죄발생부터 인지까지의 기간[건]","건","552","511","526","573","626","1098","1533","1934","2022","3455","4284","4617","4832","4944","4742","3881","3961","7577","7051",
"횡령","10일 이내","범죄발생부터 인지까지의 기간[건]","건","638","593","740","617","755","1029","1526","1898","2167","3455","4518","5049","6003","6574","6614","5505","6003","6082","5560",
"횡령","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","1765","1572","1697","1823","1848","2426","3217","3910","4738","5846","7154","7683","9102","10955","12254","11324","14103","6067","6402",
"횡령","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","3509","3489","3371","3612","3385","4147","4712","5807","6231","6040","6261","6577","7415","8956","9540","9388","13364","3239","3672",
"횡령","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","17314","16802","19216","19341","17883","15986","17858","17223","17412","18324","16537","15200","14637","13256","12999","9078","9768","9456","12489",
"배임","계","범죄발생부터 인지까지의 기간[건]","건","5402","5256","5135","6709","14619","5401","5176","5296","5819","5843","5757","5237","5788","5996","5178","4282","4344","4594","4827",
"배임","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","52","48","48","41","40","132","140","104","129","197","149","171","227","247","249","284","422","76","235",
"배임","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","1","2","-","2","2","1","-","-","-","4","2","5","-","3","2","2","0","2","1",
"배임","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","1","2","-","-","-","2","1","1","1","4","-","9","8","8","4","5","3","3","2",
"배임","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","4","8","5","5","7","16","11","16","28","29","28","24","107","117","115","144","228","370","295",
"배임","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","18","21","17","15","14","14","11","9","32","41","23","15","46","57","63","88","87","926","847",
"배임","2일 이내","범죄발생부터 인지까지의 기간[건]","건","13","7","7","11","13","11","11","14","20","16","17","13","8","25","24","32","51","8","12",
"배임","5일 이내","범죄발생부터 인지까지의 기간[건]","건","42","25","30","26","24","21","20","28","35","27","33","29","37","53","46","49","68","33","35",
"배임","10일 이내","범죄발생부터 인지까지의 기간[건]","건","73","45","46","53","41","65","57","34","57","63","51","43","61","103","104","111","141","24","28",
"배임","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","188","194","165","202","153","191","210","193","195","206","172","181","244","260","227","260","355","131","117",
"배임","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","525","461","395","496","892","474","473","524","547","451","412","402","584","415","372","305","320","263","268",
"배임","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","4485","4443","4422","5858","13433","4474","4242","4373","4775","4805","4870","4345","4466","4708","3972","3002","2669","2758","2987",
"손괴","계","범죄발생부터 인지까지의 기간[건]","건","28939","38581","40801","42951","50566","61551","61261","58296","58194","59181","59360","56558","56988","58468","58504","54397","56832","54078","47992",
"손괴","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","11118","14959","14720","14815","14734","17065","15266","12677","11491","10185","9370","8290","7631","7217","6610","5701","5592","16806","14732",
"손괴","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","1272","1825","1996","2220","2618","3591","3550","3553","3218","2997","2797","2306","1974","1753","1330","1017","959","2426","2055",
"손괴","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","1323","1782","1924","2128","2999","4011","3889","3974","3870","3761","3452","3069","2739","2635","2106","1721","1697","2951","2593",
"손괴","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","1905","2621","2940","3041","4711","6054","5380","4893","4581","4132","3844","3375","3447","3176","2850","2403","2486","5589","4591",
"손괴","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","2145","2855","3469","3759","5086","7144","6219","5597","5346","4815","4426","3765","3622","3525","3159","2969","2663","8709","7199",
"손괴","2일 이내","범죄발생부터 인지까지의 기간[건]","건","1631","2153","2413","2551","3568","4893","4784","4489","4378","4102","4317","3815","3579","3469","3301","2651","2510","4676","4079",
"손괴","5일 이내","범죄발생부터 인지까지의 기간[건]","건","2587","3549","3837","3991","4891","6020","6963","7279","7165","7346","7682","7566","7284","7103","7125","6040","5562","5019","4600",
"손괴","10일 이내","범죄발생부터 인지까지의 기간[건]","건","1757","2392","2518","2587","3093","3658","4973","5457","5817","6396","6701","6932","7078","7491","8023","7157","6776","2579","2499",
"손괴","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","2068","2718","2934","3445","3757","3926","4924","5523","6716","8230","8756","9234","10188","11270","12504","12524","13772","2363","2396",
"손괴","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","1556","1923","2166","2494","3201","3296","3432","3172","3862","5136","5786","6112","7333","8556","9142","9546","11523","1141","1228",
"손괴","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","1577","1804","1884","1920","1908","1893","1881","1682","1750","2081","2229","2094","2113","2273","2354","2668","3292","1819","2020",
"강력범죄(흉악)","계","범죄발생부터 인지까지의 기간[건]","건","21006","20922","22987","25791","27482","29248","26915","31636","34126","35139","32963","36030","35272","35066","32812","35126","43927","41287","38471",
"강력범죄(흉악)","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","6716","6657","7011","7292","8107","9292","7958","7595","7094","6948","6271","6836","5666","5039","3933","3709","4333","10192","9589",
"강력범죄(흉악)","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","842","901","944","1015","1281","1758","1773","1809","1764","1795","1772","1844","1460","1252","913","652","704","1841","1735",
"강력범죄(흉악)","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","1251","1300","1330","1438","1769","2313","2258","2555","2547","2584","2590","2642","2275","2018","1548","1236","1350","1651","1572",
"강력범죄(흉악)","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","1237","1278","1340","1455","1703","1894","1775","1885","1970","1859","1885","1852","1904","1943","1730","1739","2097","1971","1831",
"강력범죄(흉악)","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","1111","1212","1294","1349","1349","1450","1264","1447","1525","1467","1447","1484","1601","1701","1576","1886","2542","3629","3720",
"강력범죄(흉악)","2일 이내","범죄발생부터 인지까지의 기간[건]","건","882","871","986","1056","1274","1532","1450","1667","1633","1711","1675","1773","1736","1845","1706","1745","2208","1861","1675",
"강력범죄(흉악)","5일 이내","범죄발생부터 인지까지의 기간[건]","건","1498","1485","1701","1831","1924","2042","2168","2565","2600","2845","3177","3451","3430","3515","3443","3454","4359","3294","2898",
"강력범죄(흉악)","10일 이내","범죄발생부터 인지까지의 기간[건]","건","1109","1212","1418","1541","1647","1667","1616","1998","2349","2526","2670","3057","3052","3352","3250","3462","4322","2897","2647",
"강력범죄(흉악)","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","1815","1828","2168","2764","2700","2524","2217","3103","3935","4319","4305","4997","5183","5568","5621","6405","8299","4577","4189",
"강력범죄(흉악)","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","1728","1790","2166","2606","2683","2234","1873","3241","4242","4038","3317","3796","3920","4087","4217","5262","7221","3918","3400",
"강력범죄(흉악)","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","2817","2388","2629","3444","3045","2542","2563","3771","4467","5047","3854","4298","5045","4746","4875","5576","6492","5456","5215",
"살인","계","범죄발생부터 인지까지의 기간[건]","건","1064","1124","1120","1390","1262","1221","1029","966","938","958","948","858","849","847","805","692","738","801","806",
"살인","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","338","342","361","408","401","404","352","336","295","292","261","216","218","211","165","156","132","410","434",
"살인","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","46","51","54","71","65","62","64","58","45","50","50","38","33","31","24","24","20","54","42",
"살인","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","68","83","84","116","128","123","109","114","86","108","120","111","90","100","76","53","68","39","37",
"살인","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","90","102","96","105","125","121","104","100","110","118","134","140","114","128","122","123","141","60","44",
"살인","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","84","109","72","111","112","99","89","80","94","100","89","87","108","89","106","101","112","63","65",
"살인","2일 이내","범죄발생부터 인지까지의 기간[건]","건","65","62","54","82","67","73","47","45","64","64","67","48","56","52","60","45","62","11","13",
"살인","5일 이내","범죄발생부터 인지까지의 기간[건]","건","92","82","88","113","89","74","47","57","48","44","35","41","37","31","46","41","38","16","19",
"살인","10일 이내","범죄발생부터 인지까지의 기간[건]","건","49","42","55","82","45","50","38","31","22","22","29","28","23","18","19","15","22","16","21",
"살인","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","66","73","75","99","59","58","42","30","43","43","38","29","28","40","46","34","28","30","19",
"살인","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","59","67","65","90","70","62","44","32","41","36","51","44","44","50","47","34","30","27","37",
"살인","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","107","111","116","113","101","95","93","83","90","81","74","76","98","97","94","66","85","75","75",
"강도","계","범죄발생부터 인지까지의 기간[건]","건","4684","4470","4827","6379","4395","4021","2643","2011","1618","1472","1181","990","841","845","692","511","532","599","474",
"강도","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","1296","1171","1298","1475","1122","1317","908","631","479","365","271","225","174","162","105","80","92","256","196",
"강도","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","171","150","140","200","154","164","134","85","70","72","52","40","26","22","27","15","15","43","40",
"강도","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","250","276","251","288","233","279","216","180","132","114","118","85","74","69","50","33","47","35","35",
"강도","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","236","253","244","295","283","247","222","164","140","139","109","112","118","94","67","69","70","37","28",
"강도","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","228","229","249","291","213","183","125","112","101","96","87","61","63","73","70","47","63","52","30",
"강도","2일 이내","범죄발생부터 인지까지의 기간[건]","건","197","192","215","270","221","263","160","112","106","104","92","63","57","64","56","47","52","12","10",
"강도","5일 이내","범죄발생부터 인지까지의 기간[건]","건","357","339","372","493","341","260","194","178","143","137","112","84","72","75","58","56","37","20","26",
"강도","10일 이내","범죄발생부터 인지까지의 기간[건]","건","287","321","349","401","305","253","157","125","83","83","71","57","51","61","57","34","33","23","20",
"강도","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","512","507","591","835","512","409","203","136","140","131","100","113","87","98","73","49","43","44","31",
"강도","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","498","459","576","798","453","270","112","131","92","109","74","59","54","59","47","46","37","22","22",
"강도","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","652","573","542","1033","558","376","212","157","132","122","95","91","65","68","82","35","43","55","36",
"방화","계","범죄발생부터 인지까지의 기간[건]","건","1685","1694","1946","1866","1886","1972","1897","1744","1707","1646","1477","1358","1478","1345","1210","1025","1224","1189","1011",
"방화","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","684","645","683","651","634","723","682","595","539","508","379","344","366","312","250","172","226","780","660",
"방화","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","78","82","96","81","118","143","133","119","123","130","95","82","74","54","44","28","50","102","103",
"방화","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","104","114","130","116","144","176","166","192","206","199","166","116","158","143","92","74","101","60","49",
"방화","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","134","113","144","164","159","142","150","142","136","141","143","134","123","133","141","127","130","50","50",
"방화","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","132","130","152","154","110","121","101","115","100","103","98","100","129","122","99","86","96","82","64",
"방화","2일 이내","범죄발생부터 인지까지의 기간[건]","건","70","76","88","77","86","101","107","84","104","105","83","79","79","87","73","59","84","29","24",
"방화","5일 이내","범죄발생부터 인지까지의 기간[건]","건","128","111","126","121","120","128","143","125","115","118","128","105","126","98","112","93","102","28","20",
"방화","10일 이내","범죄발생부터 인지까지의 기간[건]","건","64","83","95","97","108","97","85","67","89","73","94","91","79","90","87","77","82","12","4",
"방화","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","97","114","136","132","161","131","109","115","116","107","135","134","154","142","155","142","147","13","14",
"방화","3개월 이내","범죄발생부터 인지까지의 기간[건]","건","78","101","146","145","140","92","122","119","129","107","98","125","147","109","111","122","146","12","6",
"방화","3개월 초과","범죄발생부터 인지까지의 기간[건]","건","116","125","150","128","106","118","99","71","50","55","58","48","43","55","46","45","60","21","17",
"강간","계","범죄발생부터 인지까지의 기간[건]","건","13573","13634","15094","16156","19939","22034","21346","26915","","","","","","","","","","","",
"강간","1시간 이내","범죄발생부터 인지까지의 기간[건]","건","4398","4499","4669","4758","5950","6848","6016","6033","","","","","","","","","","","",
"강간","2시간 이내","범죄발생부터 인지까지의 기간[건]","건","547","618","654","663","944","1389","1442","1547","","","","","","","","","","","",
"강간","5시간 이내","범죄발생부터 인지까지의 기간[건]","건","829","827","865","918","1264","1735","1767","2069","","","","","","","","","","","",
"강간","12시간 이내","범죄발생부터 인지까지의 기간[건]","건","777","810","856","891","1136","1384","1299","1479","","","","","","","","","","","",
"강간","24시간 이내","범죄발생부터 인지까지의 기간[건]","건","667","744","821","793","914","1047","949","1140","","","","","","","","","","","",
"강간","2일 이내","범죄발생부터 인지까지의 기간[건]","건","550","541","629","627","900","1095","1136","1426","","","","","","","","","","","",
"강간","5일 이내","범죄발생부터 인지까지의 기간[건]","건","921","953","1115","1104","1374","1580","1784","2205","","","","","","","","","","","",
"강간","10일 이내","범죄발생부터 인지까지의 기간[건]","건","709","766","919","961","1189","1267","1336","1775","","","","","","","","","","","",
"강간","1개월 이내","범죄발생부터 인지까지의 기간[건]","건","1140","1134","1366","1698","1968","1926","1863","2822","","","","","","","","","","","",
